,компания,сектор,год,тип отчета,ссылка на отчет,E_Общие,E_Биоразнообразие,E_Вода,E_Газ,E_Климат,E_Отходы,E_Экологический менеджмент,E_Энергия,S_Безопасность и охрана здоровья,S_Безопасность продукта,S_Благотворительность,S_Инвестиции и капитальные вложения,S_Налоги,S_Обучение и развитие,S_Оплата труда,S_Отношения с потребителями,S_Отношения с работниками,S_Охрана здоровья,S_Профсоюзы и коллективные договоры,S_Трудовые отношения,G_Антикоррупция,G_Дивиденды и акционеры,G_Инновации,G_Лидерство,G_Отчетность и прозрачность,G_Управление рисками,G_Эффективность и производительность
300,ВЭБ РФ,Финансы и страхование,2013,ОУР,/download/ae17c40cbd53e850473c72e7f9b91bed/,0.02,0.01,0.0,0.01,0.02,0.01,0.01,0.02,0.02,0.24,0.02,0.11,0.03,0.01,0.02,0.01,0.02,0.0,0.02,0.03,0.02,0.02,0.01,0.03,0.03,0.16,0.12
301,ВЭБ РФ,Финансы и страхование,2012,ОУР,/download/16cab50aefbeae90c869ca14cb13f5a1/,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.24,0.02,0.11,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.17,0.11
302,ВЭБ РФ,Финансы и страхование,2011,ОУР,/download/92dbbaabd270cd64b36bac7d36284ea1/,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.02,0.23,0.02,0.12,0.03,0.01,0.01,0.02,0.02,0.0,0.01,0.02,0.01,0.02,0.01,0.03,0.03,0.19,0.14
303,ВЭБ РФ,Финансы и страхование,2010,ОУР,/download/7fb6a4f15fc7da9528f4ed268830f352/,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.02,0.1,0.03,0.01,0.02,0.02,0.02,0.0,0.02,0.03,0.02,0.03,0.01,0.03,0.03,0.19,0.12
304,ВЭБ РФ,Финансы и страхование,2009,ОУР,/download/b7278d50fa08430cb8c8cf94e2cd93aa/,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.03,0.22,0.02,0.1,0.03,0.02,0.03,0.02,0.03,0.0,0.03,0.04,0.02,0.03,0.01,0.04,0.04,0.15,0.13
305,Владивостокский государственный университет экономики и сервиса,"Образование, здравоохранение","2014, 2013, 2012",СО,/download/0ccfe0ac07f64ba42c75834a03721d00/,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.03,0.0,0.11,0.03,0.02,0.13,0.02,0.03,0.03,0.0,0.02,0.06,0.02,0.03,0.01,0.05,0.04,0.02,0.03
306,Владивостокский государственный университет экономики и сервиса,"Образование, здравоохранение","2012, 2011, 2010",СО,/download/f9e532ae46f6e4e0f2f994f5020351ee/,0.02,0.02,0.01,0.0,0.02,0.01,0.01,0.02,0.03,0.0,0.11,0.04,0.03,0.13,0.02,0.02,0.03,0.01,0.02,0.06,0.02,0.04,0.01,0.06,0.04,0.02,0.03
308,ОАО «ВолгаТелеком»,Телекоммуникационная и связь,"2007, 2006",СО,/download/febcddb17e45bdcfe80a25adcfdfe474/,0.02,0.01,0.0,0.0,0.01,0.01,0.02,0.02,0.05,0.01,0.03,0.04,0.02,0.02,0.07,0.03,0.07,0.0,0.06,0.07,0.03,0.04,0.01,0.05,0.03,0.03,0.05
309,ОАО «Волжская ТГК»,Энергетика,"2006, 2005",СО,/download/7b867f02bb14c9a8b12351f7bad46986/,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.02,0.0,0.01,0.02,0.0,0.01,0.03,0.01,0.03,0.0,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.02
310,ОАО «Волжская ТГК»,Энергетика,2006,СО,/download/0df24dab9f85f6e8f4ee172779a98389/,0.02,0.01,0.01,0.0,0.02,0.01,0.02,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.03,0.0,0.02,0.03,0.02,0.02,0.01,0.03,0.02,0.02,0.02
311,ОАО «Выксунский металлургический завод»,Металлургическая и горнодобывающая,2006,ОУР,/download/9aeb00bdb5fb5ad08e42a842df12887c/,0.02,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.0,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.02,0.03,0.01,0.02,0.01,0.02,0.02,0.01,0.02
313,АО ОКБ «ГИДРОПРЕСС»,Энергетика,2016,ИО,/download/7eb6f2d03a838cc311871d719f00b137/,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.03,0.02,0.02,0.02
315,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2020,ОУР,/download/e9c01729a3a2a31260c9c9e766420842/,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.02,0.02,0.01,0.02
316,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2019,ОУР,/download/1a51edd44f6f1845359e1dc6711363e7/,0.03,0.02,0.01,0.01,0.03,0.02,0.04,0.02,0.04,0.02,0.03,0.03,0.02,0.01,0.03,0.02,0.03,0.0,0.03,0.04,0.03,0.03,0.01,0.04,0.03,0.03,0.04
317,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2018,ОУР,/download/38ac9cb9cc39effeaf38c02d48d8bbae/,0.03,0.03,0.01,0.01,0.02,0.02,0.04,0.02,0.04,0.01,0.02,0.03,0.02,0.01,0.03,0.02,0.03,0.0,0.02,0.04,0.03,0.02,0.01,0.04,0.03,0.02,0.03
318,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2017,ОУР,/download/5fba67714555f33b542269642f689e3d/,0.03,0.03,0.01,0.0,0.02,0.02,0.04,0.02,0.04,0.01,0.03,0.03,0.02,0.01,0.03,0.02,0.03,0.0,0.03,0.04,0.03,0.03,0.01,0.04,0.03,0.03,0.03
319,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2016,СО,/download/da41750b871d8c64bf41316a201e1e70/,0.04,0.03,0.01,0.01,0.03,0.02,0.04,0.03,0.04,0.02,0.03,0.04,0.02,0.01,0.04,0.03,0.04,0.0,0.03,0.05,0.04,0.03,0.01,0.05,0.04,0.04,0.04
321,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2014,СО,/download/abd4034dbae5b99b6ba439c43942364b/,0.03,0.02,0.01,0.0,0.02,0.02,0.03,0.02,0.04,0.01,0.02,0.03,0.02,0.01,0.03,0.03,0.03,0.0,0.03,0.04,0.03,0.03,0.01,0.04,0.03,0.03,0.03
322,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2013,СО,/download/b1f6178c4ef95dca0529cfb5671ee271/,0.03,0.02,0.01,0.0,0.02,0.02,0.03,0.02,0.03,0.01,0.02,0.03,0.01,0.02,0.03,0.02,0.03,0.0,0.02,0.04,0.02,0.02,0.01,0.03,0.03,0.02,0.03
325,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2010,ОУР,/download/a2db7b16f655779a3334114281cfe093/,0.03,0.01,0.01,0.0,0.02,0.01,0.03,0.02,0.04,0.01,0.02,0.03,0.01,0.01,0.04,0.02,0.04,0.0,0.03,0.04,0.03,0.02,0.01,0.04,0.03,0.02,0.03
326,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2009,ОУР,/download/14f6655a47d3819ad916974e2ef258c1/,0.02,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.03,0.02,0.02,0.0,0.03,0.02,0.02,0.03
327,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2008,ОУР,/download/3624eeaab3c44b48e951d1540fe3e040/,0.03,0.01,0.01,0.0,0.02,0.02,0.03,0.02,0.04,0.01,0.03,0.03,0.01,0.02,0.04,0.02,0.04,0.01,0.03,0.05,0.03,0.03,0.01,0.04,0.03,0.03,0.04
328,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2007,СО,/download/1654712721c594ced6147de5f3ff725f/,0.03,0.01,0.01,0.0,0.02,0.01,0.03,0.01,0.04,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.03,0.0,0.03,0.04,0.02,0.03,0.01,0.03,0.03,0.02,0.03
330,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2005,СО,/download/3469fe73b7782e1f6c9fa342ac24dcbf/,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.01,0.02,0.03,0.03,0.01,0.0,0.04,0.02,0.01,0.02
331,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,"2004, 2003",СО,/download/4ef5bfacb8f00d1e80bf995f70cfecd1/,0.03,0.01,0.0,0.0,0.02,0.01,0.04,0.02,0.05,0.01,0.03,0.04,0.02,0.02,0.07,0.02,0.07,0.01,0.06,0.07,0.05,0.04,0.01,0.05,0.04,0.03,0.05
332,АО «ГНЦ НИИАР»,Энергетика,2021,ОУР,/download/e5b0b42de642fd4a69df7a411ce2ee82/,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.01
333,АО «ГНЦ НИИАР»,Энергетика,2020,ЭО,/download/e17edf1212117de1d0e3687d20102f4b/,0.03,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.04,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.01
334,АО «ГНЦ НИИАР»,Энергетика,2019,ЭО,/download/b640ba3f2a6df396b321f69c7cc2caa6/,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01
335,АО «ГНЦ НИИАР»,Энергетика,2018,ИО,/download/2eee46e0ab3db095d3db4ff055bc9a08/,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.03,0.03,0.03,0.02
336,АО «ГНЦ НИИАР»,Энергетика,2018,ЭО,/download/ec08e7f549d4062f9c4a68cbabdadb30/,0.03,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.04,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.01
337,АО «ГНЦ НИИАР»,Энергетика,2017,ЭО,/download/b47f711987dfaa4229b4f6d7e538d6f0/,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.04,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.01
338,АО «ГНЦ НИИАР»,Энергетика,2017,ИО,/download/1d4e85d10a5bd5bcc5f93ce696ca2795/,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.03,0.03,0.03,0.02
339,АО «ГНЦ НИИАР»,Энергетика,2016,ИО,/download/c8f42ac46cdbe8e6743c6eba00de3019/,0.02,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.02
340,АО «ГНЦ НИИАР»,Энергетика,2015,ИО,/download/65a74ff82c0702caa19643b44fe5fdad/,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0.01
341,АО «ГНЦ НИИАР»,Энергетика,2014,ИО,/download/a9ee2e2440a10c3985f99cfd251d426f/,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.04,0.03,0.03,0.02
342,АО «ГНЦ НИИАР»,Энергетика,2013,ИО,/download/df6a9a908c4f0956ad755d1c38c8b36b/,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.03,0.01,0.02,0.02,0.02,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.04,0.04,0.04,0.02
343,АО «ГНЦ НИИАР»,Энергетика,2012,ИО,/download/afb23a33a8530a86b3bbf217f857b8ac/,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.03,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.04,0.03,0.04,0.02
344,ПАО «Газпром»,Энергетика,2021,ЭО,/download/220c96edbcbf7b605f9325dd1bb0a349/,0.05,0.0,0.01,0.05,0.01,0.0,0.01,0.03,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01
345,ПАО «Газпром»,Энергетика,2021,ОУР,/download/3b7a670ea710f80b22fca17904d1ce72/,0.09,0.01,0.01,0.11,0.02,0.01,0.02,0.07,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.0,0.02,0.02,0.01,0.03,0.01,0.03,0.02,0.02,0.02
346,ПАО «Газпром»,Энергетика,2020,ОУР,/download/36447764d1e0d18e061d1196f71fa17a/,0.08,0.01,0.01,0.12,0.02,0.01,0.02,0.08,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.02
347,ПАО «Газпром»,Энергетика,2020,ЭО,/download/b2ca98f36845cef39c22f955ed8dbb3e/,0.09,0.01,0.01,0.13,0.02,0.01,0.02,0.08,0.01,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02
348,ПАО «Газпром»,Энергетика,2019,ОУР,/download/eb9de0964338038d1a1757eb8184b25e/,0.09,0.01,0.01,0.11,0.02,0.01,0.02,0.08,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.0,0.02,0.02,0.01,0.03,0.01,0.03,0.02,0.02,0.02
349,ПАО «Газпром»,Энергетика,2019,ЭО,/download/55033dd7fcdf6cccc0a5c91ac624ec12/,0.09,0.02,0.01,0.12,0.02,0.02,0.02,0.08,0.02,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.02
350,ПАО «Газпром»,Энергетика,2018,ЭО,/download/bfcd6ab5898ad8d89200ca02c2c66d0f/,0.1,0.02,0.02,0.12,0.02,0.02,0.03,0.08,0.02,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02
351,ПАО «Газпром»,Энергетика,2018,ОУР,/download/c1c62f9f7cce7379ec8609d5f702d36a/,0.09,0.01,0.01,0.13,0.02,0.01,0.03,0.09,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.02,0.01,0.03,0.01,0.03,0.02,0.01,0.03
352,ПАО «Газпром»,Энергетика,2017,ЭО,/download/8dd9842ef6ed7475b2551e157acfd886/,0.1,0.02,0.02,0.13,0.02,0.02,0.03,0.08,0.02,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02
353,ПАО «Газпром»,Энергетика,2017,ОУР,/download/430887e9f6bd54a17c08856e15360b0e/,0.09,0.02,0.01,0.12,0.02,0.01,0.04,0.08,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.03,0.01,0.03,0.02,0.01,0.03
354,ПАО «Газпром»,Энергетика,2016,ЭО,/download/8ec19a0c043798c4ec9f4fa81c54af1d/,0.09,0.02,0.02,0.13,0.02,0.02,0.03,0.08,0.02,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02
355,ПАО «Газпром»,Энергетика,2016,ОУР,/download/1e77ef99b31b506107ff27f9217f3282/,0.09,0.01,0.01,0.12,0.02,0.01,0.03,0.09,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.0,0.02,0.02,0.01,0.03,0.01,0.03,0.02,0.02,0.03
356,ПАО «Газпром»,Энергетика,2015,ЭО,/download/6d8fc120e98b2c369b9d4cba4391c8f5/,0.09,0.02,0.01,0.13,0.02,0.02,0.03,0.08,0.01,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02
357,ПАО «Газпром»,Энергетика,"2015, 2014",ОУР,/download/438f61c68ee1d09530a0ca4eb974b877/,0.09,0.01,0.0,0.12,0.02,0.01,0.02,0.08,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.02
358,ПАО «Газпром»,Энергетика,2014,ЭО,/download/104ac650e27aba816b6e6eb4b9c4202f/,0.09,0.02,0.01,0.12,0.02,0.02,0.03,0.08,0.02,0.0,0.02,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02
359,ПАО «Газпром»,Энергетика,"2013, 2012",ОУР,/download/47e1cdd581cd65d390d80ed4f0412541/,0.09,0.01,0.01,0.13,0.02,0.01,0.03,0.09,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.03
360,ПАО «Газпром»,Энергетика,2013,ЭО,/download/872b1d3dd74b2e781974e37895160fc1/,0.09,0.02,0.01,0.12,0.02,0.02,0.03,0.08,0.02,0.0,0.02,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02
361,ПАО «Газпром»,Энергетика,2012,ЭО,/download/2930c50a6f4045305c01cd87f0077afc/,0.1,0.02,0.02,0.12,0.02,0.03,0.04,0.08,0.02,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02
362,ПАО «Газпром»,Энергетика,2011,ЭО,/download/37adb43fe28bda933897f9bb8becd6e1/,0.1,0.02,0.02,0.12,0.02,0.03,0.03,0.08,0.02,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02
363,ПАО «Газпром»,Энергетика,"2011, 2010",ОУР,/download/68c182d935aad686a0200495c043a343/,0.1,0.02,0.01,0.13,0.02,0.02,0.04,0.09,0.02,0.01,0.02,0.03,0.01,0.01,0.02,0.02,0.01,0.0,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03
364,ПАО «Газпром»,Энергетика,2010,ЭО,/download/432939126c51f4849ca6f5771db7f087/,0.09,0.02,0.02,0.12,0.02,0.02,0.03,0.08,0.02,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02
365,ПАО «Газпром»,Энергетика,"2009, 2008",ОУР,/download/129f26eb2f2627de31f30f7abcebdb30/,0.1,0.01,0.01,0.12,0.03,0.01,0.02,0.08,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.02,0.0,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.03
366,ПАО «Газпром»,Энергетика,2009,ЭО,/download/3de1101eef0e0c46d7d69bdd1296d944/,0.1,0.02,0.02,0.12,0.02,0.02,0.04,0.08,0.02,0.0,0.01,0.02,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
367,ПАО «Газпром»,Энергетика,2008,ЭО,/download/f0568d875868b6d45afcb119293daf6d/,0.09,0.02,0.02,0.12,0.02,0.03,0.03,0.08,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02
368,ПАО «Газпром»,Энергетика,2007,ЭО,/download/fdb025636bd4dea35c2a3dc92fe919f5/,0.11,0.03,0.01,0.13,0.02,0.02,0.04,0.08,0.03,0.01,0.02,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.04
369,ПАО «Газпром»,Энергетика,2006,ЭО,/download/ef3269ee3bd3cb553bf44559fc640b5c/,0.11,0.02,0.02,0.12,0.02,0.03,0.04,0.09,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.03
370,ПАО «Газпром»,Энергетика,2005,ЭО,/download/70d2927d5b39635c51ad049dee029f92/,0.1,0.02,0.02,0.11,0.03,0.03,0.04,0.07,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03
371,ПАО «Газпром»,Энергетика,2004,ЭО,/download/8200a0cdb70857dfe0b922c4eabd5cf2/,0.11,0.02,0.03,0.12,0.02,0.04,0.05,0.08,0.04,0.01,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.0,0.01,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.04
375,ПАО «Газпром нефть»,Нефтегазовая,2020,ОУР,/download/7b225217cfde1290b9cbe94a4302962d/,0.12,0.02,0.01,0.13,0.04,0.02,0.1,0.1,0.06,0.02,0.03,0.04,0.02,0.02,0.03,0.04,0.03,0.03,0.03,0.05,0.03,0.03,0.02,0.05,0.05,0.04,0.07
376,ПАО «Газпром нефть»,Нефтегазовая,2019,ОУР,/download/2727afe18a04c5fe922a58317df5d796/,0.1,0.02,0.01,0.11,0.04,0.01,0.11,0.09,0.05,0.03,0.04,0.04,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.04,0.03,0.03,0.02,0.04,0.04,0.04,0.06
377,ПАО «Газпром нефть»,Нефтегазовая,2018,ОУР,/download/f7c8e07103d5ffdcc9a546d073c678e2/,0.11,0.02,0.01,0.13,0.03,0.02,0.11,0.09,0.04,0.02,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.04,0.03,0.03,0.02,0.05,0.04,0.03,0.07
378,ПАО «Газпром нефть»,Нефтегазовая,2017,ОУР,/download/0e67dec89e605d16794ff57860d0ba47/,0.11,0.03,0.02,0.12,0.04,0.03,0.1,0.09,0.04,0.02,0.05,0.04,0.02,0.03,0.03,0.03,0.03,0.01,0.02,0.05,0.03,0.04,0.02,0.05,0.05,0.03,0.07
379,ПАО «Газпром нефть»,Нефтегазовая,2016,ОУР,/download/d0b4a390899538bea59fdc417d6f4249/,0.11,0.02,0.01,0.13,0.03,0.02,0.1,0.09,0.04,0.02,0.04,0.04,0.01,0.02,0.03,0.03,0.03,0.01,0.02,0.04,0.03,0.03,0.02,0.04,0.04,0.03,0.07
380,ПАО «Газпром нефть»,Нефтегазовая,2015,ОУР,/download/21ada5fb4e55c29685183751c783f6d3/,0.11,0.02,0.01,0.12,0.04,0.03,0.1,0.09,0.04,0.02,0.04,0.04,0.02,0.02,0.03,0.03,0.03,0.0,0.03,0.04,0.03,0.03,0.02,0.04,0.05,0.03,0.07
381,ПАО «Газпром нефть»,Нефтегазовая,2014,ОУР,/download/b150b7a2b8fdfe5ff33c54bde211fe0d/,0.11,0.02,0.01,0.13,0.03,0.02,0.1,0.09,0.03,0.01,0.04,0.04,0.01,0.02,0.02,0.02,0.03,0.0,0.02,0.04,0.03,0.03,0.02,0.05,0.03,0.03,0.06
382,ПАО «Газпром нефть»,Нефтегазовая,2013,ОУР,/download/87dc3cb33c4a7fc7916166e82d9a7ec1/,0.11,0.02,0.01,0.14,0.03,0.03,0.09,0.09,0.04,0.02,0.04,0.04,0.01,0.01,0.03,0.02,0.03,0.0,0.02,0.04,0.03,0.03,0.01,0.04,0.04,0.03,0.06
383,ПАО «Газпром нефть»,Нефтегазовая,2012,ОУР,/download/ab1c0c161619eaa7e2f414ec87283e4a/,0.06,0.01,0.0,0.05,0.02,0.01,0.07,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.01,0.0,0.03,0.05,0.02,0.01,0.0,0.03,0.03,0.03,0.03
384,ПАО «Газпром нефть»,Нефтегазовая,2011,ОУР,/download/a2794a0883de26c8107b647ab87584a8/,0.1,0.02,0.01,0.13,0.02,0.02,0.09,0.08,0.03,0.01,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.03,0.02,0.02,0.01,0.05,0.03,0.02,0.06
385,ПАО «Газпром нефть»,Нефтегазовая,2010,ОУР,/download/2bfba93f636a2f96f1287aee630d5b75/,0.09,0.03,0.02,0.11,0.04,0.03,0.11,0.07,0.04,0.01,0.03,0.04,0.01,0.01,0.03,0.03,0.03,0.0,0.03,0.04,0.03,0.02,0.01,0.05,0.03,0.03,0.07
386,ПАО «Газпром нефть»,Нефтегазовая,2009,ОУР,/download/7d862625d3808b8a414e643f9038da40/,0.1,0.02,0.01,0.13,0.03,0.02,0.1,0.08,0.03,0.01,0.03,0.03,0.01,0.02,0.02,0.03,0.03,0.0,0.02,0.04,0.03,0.02,0.01,0.04,0.03,0.03,0.06
387,ПАО «Газпром нефть»,Нефтегазовая,"2009, 2008, 2007",ОУР,/download/9056f702e6d5c7c903f01285e5a73de0/,0.09,0.01,0.01,0.12,0.03,0.02,0.1,0.08,0.03,0.01,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.03,0.02,0.02,0.01,0.02,0.03,0.03,0.06
388,ПАО «Газпром нефть»,Нефтегазовая,2007,ОУР,/download/48941578c899a5ccdeada8585155ccaa/,0.09,0.02,0.02,0.1,0.03,0.02,0.09,0.07,0.05,0.01,0.04,0.04,0.01,0.01,0.04,0.04,0.04,0.0,0.04,0.06,0.04,0.03,0.01,0.05,0.04,0.04,0.07
389,ПАО «Газпром нефть»,Нефтегазовая,2004,СО,/download/8064f0b9e669e839a1181be1a2cf9cd7/,0.03,0.02,0.01,0.03,0.02,0.03,0.03,0.02,0.03,0.01,0.07,0.03,0.02,0.01,0.03,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.03
390,ПАО «Газпром нефть»,Нефтегазовая,"2003, 2002",СО,/download/3e3b0dec363499d501279dd73c2b9780/,0.04,0.02,0.03,0.01,0.02,0.03,0.02,0.02,0.03,0.0,0.05,0.03,0.01,0.03,0.03,0.01,0.03,0.01,0.02,0.04,0.02,0.03,0.01,0.02,0.02,0.01,0.03
