,компания,сектор,год,тип отчета,ссылка на отчет,E_Общие,E_Биоразнообразие,E_Вода,E_Газ,E_Климат,E_Отходы,E_Экологический менеджмент,E_Энергия,S_Безопасность и охрана здоровья,S_Безопасность продукта,S_Благотворительность,S_Инвестиции и капитальные вложения,S_Налоги,S_Обучение и развитие,S_Оплата труда,S_Отношения с потребителями,S_Отношения с работниками,S_Охрана здоровья,S_Профсоюзы и коллективные договоры,S_Трудовые отношения,G_Антикоррупция,G_Дивиденды и акционеры,G_Инновации,G_Лидерство,G_Отчетность и прозрачность,G_Управление рисками,G_Эффективность и производительность
18,"ПАО ""ЭсЭфАй""",Финансы и страхование,2021,ИО,/download/d69ba992e68e8ba3e1b410e280464e7a/,0.03,0.01,0.0,0.01,0.03,0.01,0.02,0.02,0.04,0.03,0.02,0.1,0.03,0.02,0.05,0.04,0.03,0.01,0.01,0.05,0.02,0.11,0.02,0.08,0.06,0.06,0.08
19,"ПАО ""ЯТЭК""",Нефтегазовая,2021,ИО,/download/a70843675d1ff69bd2d72f3a15a3eaba/,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.06,0.02,0.01,0.03,0.02,0.02,0.0,0.01,0.05,0.03,0.06,0.01,0.06,0.05,0.04,0.06
20,"ПАО ""ЯТЭК""",Нефтегазовая,2021,ОУР,/download/b56d4e7c54620ddbe5b5c5f1b7d5bbaa/,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.04,0.02,0.03,0.01,0.04,0.02,0.02,0.03
21,"ПАО ""ЯТЭК""",Нефтегазовая,2021,ОУР,/download/c5c0e46c792d0d0453408ef134ef64e2/,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.04,0.02,0.03,0.01,0.04,0.02,0.02,0.03
22,Etalon Group,Строительство,2020,ИО,/download/9898c3df22f8336f7a80fcac267f322d/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"ПАО ""ЯТЭК""",Нефтегазовая,2020,ИО,/download/2900c5613191ab5f62fc81b5879b9c4e/,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.0,0.01,0.04,0.02,0.05,0.01,0.06,0.04,0.02,0.04
24,Etalon Group,Строительство,2019,ИО,/download/e240a516973f853625ec2722ccc138c6/,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.02,0.01,0.0,0.03,0.04,0.03,0.0,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.03
25,Etalon Group,Строительство,2018,ИО,/download/90fbffee3a7938102e14b8180f5ca995/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Etalon Group,Строительство,2017,ИО,/download/7bec443abf7af00aca60d620ea8921a5/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Abbott,"Образование, здравоохранение","2013, 2012",СО,/download/77a8bfd88fe3eed49776fba778835dbf/,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.1,0.01,0.02,0.03,0.01,0.01,0.03,0.03,0.02,0.1,0.02,0.04,0.02,0.02,0.01,0.03,0.04,0.02,0.03
28,"Alcoa, Inc.",Металлургическая и горнодобывающая,2006,ОУР,/download/6ed93ed660f6c25d25adc523628a5f99/,0.05,0.02,0.02,0.01,0.02,0.01,0.03,0.03,0.04,0.01,0.03,0.04,0.01,0.01,0.04,0.04,0.05,0.01,0.04,0.06,0.03,0.04,0.01,0.04,0.05,0.03,0.05
30,"Alcoa, Inc.",Металлургическая и горнодобывающая,2004,ОУР,/download/218c65ae2913fb4ba99aa4109749fc7a/,0.02,0.01,0.01,0.0,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.0,0.02,0.03,0.03,0.0,0.03,0.03,0.02,0.02,0.0,0.02,0.02,0.02,0.03
