компания,отрасль,E,S,G,компания РСПП
Распадская,Угольная промышленность,100,97,73,ПАО «Распадская»
Транспортная группа FESCO,Транспортно-логистические услуги,124,95,80,
Альфа-Банк,Банки,127,109,77,
"«Илим», группа",Целлюлозно-бумажная промышленность,91,89,96,
Ситибанк,Банки,117,104,86,
«АК БАРС» БАНК,Банки,146-147,91,90,АКБ «АК БАРС»
Башнефть,Интегрированные нефтегазовые компании,111,113,68,
"«Нижнекамскнефтехим», группа",Сырьевая химия,88,119,87,
"""Соликамскбумпром""",Целлюлозно-бумажная промышленность,82,98,103,
"«ЮТэйр», авиакомпания",Авиакомпании,153,124,63,
"«ТНС ЭНЕРГО», группа компаний",Энергосбыт,152,125,88,
ВБРР,Банки,119,144,83,
"""Каустик"" (г. Волгоград)",Специализированные химикаты,101,93,111,
"«Ашинский металлургический завод», группа",Чёрная металлургия,106,108,102,
«Монди СЛПК»,Целлюлозно-бумажная промышленность,90,101,113,
ЧФМК,Деревообработка,113,78,118,
Новикомбанк,Банки,128,114,110,
«Объединенная судостроительная корпорация»,Судостроение,123,132,95,
«Ямал СПГ»,Разведка и добыча газа,86,143,105,
«Объединенная авиастроительная корпорация»,Авиастроение,148,86,116,
«Яндекс»,Программное обеспечение и услуги,131,128,104,Яндекс
"«РуссНефть», нефтегазовая компания",Интегрированные нефтегазовые компании,130,115,106,
"«Уралхим», ОХК",Агрохимикаты,125,105,114,
Сусуманзолото,Драгоценные металлы,118,121,109,
«Русвинил»,Специализированные химикаты,99,99,127,
«Мечел»,Чёрная металлургия,151,150,98,
Казаньоргсинтез,Сырьевая химия,94,139,119,
«Башкирская содовая компания»,Специализированные химикаты,107,110,126,
«ДИКСИ Групп»,Розничная торговля продуктами питания,142,152,108,
«Русская медная компания»,Производство меди,92,92,135,
"«Славнефть», группа",Интегрированные нефтегазовые компании,138,149,107,
"«Сибантрацит», группа",Угольная промышленность,102,87,136,
«Азбука Вкуса» (сеть супермаркетов),Розничная торговля продуктами питания,104,138,123,
ТГК-2,Энергоснабжение,137,122,120,
"«Титан», группа компаний (нефтехимия)",Нефтехимия,96,116,131,
«Иркутская нефтяная компания»,Добыча нефти и газа,108,106,132,
«Мишлен»,Производство шин,120,130,121,
«Русский уголь»,Угольная промышленность,115,103,134,
Промсвязьбанк,Банки,105,137,128,
«Сибуглемет»,Угольная промышленность,132,96,133,
«Стройсервис»,Угольная промышленность,98,100,142,
АБ «Россия»,Банки,146-147,148,124,
«УГМК»,Добыча прочих полезных ископаемых,95,94,153,
«Вкусвилл»,Розничная торговля продуктами питания,79,126,150,
"""Нефтиса"", нефтяная компания",Интегрированные нефтегазовые компании,145,129,129,
Независимая нефтегазовая компания,Интегрированные нефтегазовые компании,144,153,125,
Прииск Соловьевский,Драгоценные металлы,136,142,130,
Золоторудная Компания ПАВЛИК,Драгоценные металлы,149,131,137,
Южуралзолото Группа Компаний,Драгоценные металлы,121,146,138,
«Группа ПОЛИПЛАСТИК»,Трубопроводная продукция,126,123,145-147,
СДС Азот,Агрохимикаты,122,136,141,
Омск Карбон Групп,Сырьевая химия,133,127,143,
«Щёкиноазот»,Агрохимикаты,140,145,140,
ТАИФ-НК,Добыча нефти и газа,134,135,144,
Кордиант,Производство шин,154,151,139,
Карелия Палп,Целлюлозно-бумажная промышленность,114,154,145-147,
«Тетра Пак»,Упаковочные решения,129,140,151,
"""Титан"", группа компаний (деревообработка)",Деревообработка,141,141,145-147,
«Т Плюс»,Электроэнергетика и теплоснабжение,135,147,148,
«Фирма «Август»,Агрохимикаты,139,120,155,
«Минудобрения»,Агрохимикаты,143,134,152,
«Промышленно-металлургический холдинг» (ПМХ),Чёрная металлургия,150,133,154,
S7 Airlines,Авиакомпании,155,155,149,
